# TShark hosts output
#
# Host data gathered from maze/maze.pcapng

91.189.95.3	ns2.canonical.com
205.251.198.98	ns-1634.awsdns-12.co.uk
205.251.196.236	ns-1260.awsdns-29.org
205.251.195.35	ns-803.awsdns-36.net
52.114.159.32	skypedataprdcolwus05.cloudapp.net
52.114.75.149	skypedataprdcolweu00.cloudapp.net
172.217.4.35	clientservices.googleapis.com
142.250.190.16	storage.googleapis.com
52.184.216.246	array506.prod.do.dsp.mp.microsoft.com
4.23.46.155	usa-d.prod1.footprint.net
91.189.91.139	ns3.canonical.com
64.4.48.2	ns2prod.8292.azuredns-prd.org
184.85.248.128	a9-128.akadns.net
172.217.6.112	storage.googleapis.com
44.237.173.75	locprod2-elb-us-west-2.prod.mozaws.net
142.250.191.176	storage.googleapis.com
173.245.58.130	lily.ns.cloudflare.com
216.239.36.10	ns3.google.com
131.253.33.2	ns2.dc-msedge.net
23.215.104.143	n3dscw14.akamai.net
13.107.222.240	tm1.edgedns-tm.info
172.217.4.80	storage.googleapis.com
13.107.18.254	k-9999.k-msedge.net
142.250.190.132	www.google.com
96.7.49.129	a3-129.akadns.net
184.50.239.101	n7dscw14.akamai.net
184.27.120.62	n5g.akamaiedge.net
198.148.79.38	ns1a.clamav.net
173.245.59.105	brad.ns.cloudflare.com
142.250.191.206	sb-ssl.l.google.com
8.254.54.145	usa-d.prod1.footprint.net
104.21.89.171	dfir.science
3.127.12.149	ns3.protonmail.com
95.100.168.130	a5-130.akagtm.org
142.250.190.48	storage.googleapis.com
34.216.198.143	locprod2-elb-us-west-2.prod.mozaws.net
172.217.8.176	storage.googleapis.com
205.251.193.121	ns-377.awsdns-47.com
35.232.111.17	connectivity-check.ubuntu.com
205.251.193.164	ns-420.awsdns-52.com
65.55.117.41	tm2.dns-tm.com
91.194.146.115	swisssign.net
64.4.48.6	ns2-06.azure-dns.net
142.250.191.208	storage.googleapis.com
172.217.5.14	play.google.com
52.184.213.187	array512.prod.do.dsp.mp.microsoft.com
23.63.78.40	a1879.dscw14.akamai.net
184.26.161.64	a14-64.akam.net
216.239.34.10	ns2.google.com
13.107.18.2	ns2.k-msedge.net
198.78.199.155	usa-c.prod1.footprint.net
70.37.97.229	wd-prod-ss-us-southcentral-2-fe.southcentralus.cloudapp.azure.c
204.79.197.1	ns1.a-msedge.net
69.22.155.198	n6g.akamaiedge.net
40.70.229.150	array501.prod.do.dsp.mp.microsoft.com
13.107.42.254	l-9999.l-msedge.net
52.34.254.9	locprod2-elb-us-west-2.prod.mozaws.net
13.107.24.201	ns3-201.azure-dns.org
192.229.254.6	ns4.v0cdn.net
44.236.127.247	locprod2-elb-us-west-2.prod.mozaws.net
172.217.8.208	storage.googleapis.com
52.10.171.58	locprod2-elb-us-west-2.prod.mozaws.net
52.152.108.96	fe3.delivery.dsp.mp.microsoft.com.nsatc.net
91.194.146.5	dns03.swisssign.net
52.184.216.226	array505.prod.do.dsp.mp.microsoft.com
40.90.4.2	ns1-02.azure-dns.com
72.21.80.6	ns2.v0cdn.net
185.70.41.130	mail.protonmail.com
23.215.105.53	n4dscw14.akamai.net
23.220.96.100	n5g.akamaiedge.net
13.107.246.1	ns1.t-msedge.net
52.184.213.21	array511.prod.do.dsp.mp.microsoft.com
2.22.230.130	a13-130.akagtm.org
35.224.170.84	connectivity-check.ubuntu.com
52.137.103.130	array804.prod.do.dsp.mp.microsoft.com
216.239.32.10	ns1.google.com
142.250.190.112	storage.googleapis.com
